Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3620,3204,416,977720,496,973904,159,0.885083,0.870021,0.996097,0.877487,,,1.42025862069,2.30944224518
INDEL,PASS,3620,3204,416,977720,496,973904,159,0.885083,0.870021,0.996097,0.877487,,,1.42025862069,2.30944224518
SNP,ALL,17582,17364,218,4014324,365,3996478,57,0.987601,0.979547,0.995554,0.983558,2.35648854962,1.95128158396,1.42255659856,1.57432523913
SNP,PASS,17582,17364,218,4014324,365,3996478,57,0.987601,0.979547,0.995554,0.983558,2.35648854962,1.95128158396,1.42255659856,1.57432523913
