Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3620,3213,407,975057,470,971268,156,0.887569,0.875957,0.996114,0.881725,,,1.42025862069,2.30153323769
INDEL,PASS,3620,3213,407,975057,470,971268,156,0.887569,0.875957,0.996114,0.881725,,,1.42025862069,2.30153323769
SNP,ALL,17582,17497,85,3988153,196,3970339,28,0.995166,0.988997,0.995533,0.992072,2.35648854962,1.95998160074,1.42255659856,1.56689983926
SNP,PASS,17582,17497,85,3988153,196,3970339,28,0.995166,0.988997,0.995533,0.992072,2.35648854962,1.95998160074,1.42255659856,1.56689983926
