Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3656,3223,433,970114,503,966273,160,0.881565,0.869045,0.996041,0.87526,,,1.37246680643,2.31998695609
INDEL,PASS,3656,3223,433,970114,503,966273,160,0.881565,0.869045,0.996041,0.87526,,,1.37246680643,2.31998695609
SNP,ALL,17907,17668,239,3930266,553,3911941,69,0.986653,0.969823,0.995337,0.978166,2.32300556586,1.99328113045,1.35760453766,1.62446143907
SNP,PASS,17907,17668,239,3930266,553,3911941,69,0.986653,0.969823,0.995337,0.978166,2.32300556586,1.99328113045,1.35760453766,1.62446143907
