Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3656,3228,428,966610,491,962786,154,0.882932,0.8716,0.996044,0.87723,,,1.37246680643,2.2969763144
INDEL,PASS,3656,3228,428,966610,491,962786,154,0.882932,0.8716,0.996044,0.87723,,,1.37246680643,2.2969763144
SNP,ALL,17907,17675,232,3880406,547,3862072,53,0.987044,0.970165,0.995275,0.978532,2.32300556586,2.00203323712,1.35760453766,1.59143902317
SNP,PASS,17907,17675,232,3880406,547,3862072,53,0.987044,0.970165,0.995275,0.978532,2.32300556586,2.00203323712,1.35760453766,1.59143902317
