Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,413824,409333,4491,920810,3763,494462,1158,0.989148,0.991174,0.536986,0.99016,,,1.29568812482,1.59326639819
INDEL,PASS,413824,409333,4491,920810,3763,494462,1158,0.989148,0.991174,0.536986,0.99016,,,1.29568812482,1.59326639819
SNP,ALL,3265989,3231517,34472,3748981,31338,485460,5420,0.989445,0.990397,0.129491,0.989921,2.10580535116,2.01697469404,1.30396330599,1.38741973295
SNP,PASS,3265989,3231517,34472,3748981,31338,485460,5420,0.989445,0.990397,0.129491,0.989921,2.10580535116,2.01697469404,1.30396330599,1.38741973295
