Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,416767,413504,3263,939257,4309,507929,1169,0.992171,0.99001,0.540777,0.991089,,,1.32050199885,1.63251393627
INDEL,PASS,416767,413504,3263,939257,4309,507929,1169,0.992171,0.99001,0.540777,0.991089,,,1.32050199885,1.63251393627
SNP,ALL,3275614,3247494,28120,3939725,40927,650774,5538,0.991415,0.987556,0.165183,0.989482,2.10868055292,1.94417239099,1.31527635192,1.4725957294
SNP,PASS,3275614,3247494,28120,3939725,40927,650774,5538,0.991415,0.987556,0.165183,0.989482,2.10868055292,1.94417239099,1.31527635192,1.4725957294
