Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,416767,413577,3190,929332,3566,498680,1154,0.992346,0.99172,0.5366,0.992033,,,1.32050199885,1.6010964446
INDEL,PASS,416767,413577,3190,929332,3566,498680,1154,0.992346,0.99172,0.5366,0.992033,,,1.32050199885,1.6010964446
SNP,ALL,3275614,3254520,21094,3840477,31718,553699,5522,0.99356,0.99035,0.144175,0.991952,2.10868055292,1.97815061686,1.31527635192,1.39432356491
SNP,PASS,3275614,3254520,21094,3840477,31718,553699,5522,0.99356,0.99035,0.144175,0.991952,2.10868055292,1.97815061686,1.31527635192,1.39432356491
