Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,522389,515300,7089,925527,5244,383532,2389,0.98643,0.990325,0.414393,0.988373,,,1.51401175761,1.87291817985
INDEL,PASS,522389,515300,7089,925527,5244,383532,2389,0.98643,0.990325,0.414393,0.988373,,,1.51401175761,1.87291817985
SNP,ALL,3352685,3315802,36883,3772008,30406,424764,4354,0.988999,0.990916,0.11261,0.989957,2.09757203756,2.02083571865,1.57433458455,1.62462743187
SNP,PASS,3352685,3315802,36883,3772008,30406,424764,4354,0.988999,0.990916,0.11261,0.989957,2.09757203756,2.02083571865,1.57433458455,1.62462743187
