Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,522389,514968,7421,944546,8551,399586,2447,0.985794,0.984309,0.423046,0.985051,,,1.51401175761,1.94515448091
INDEL,PASS,522389,514968,7421,944546,8551,399586,2447,0.985794,0.984309,0.423046,0.985051,,,1.51401175761,1.94515448091
SNP,ALL,3352685,3305380,47305,3943474,66646,570400,4712,0.98589,0.980242,0.144644,0.983058,2.09757203756,1.98545037316,1.57433458455,1.77997504798
SNP,PASS,3352685,3305380,47305,3943474,66646,570400,4712,0.98589,0.980242,0.144644,0.983058,2.09757203756,1.98545037316,1.57433458455,1.77997504798
