Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,467693,463115,4578,934590,5418,448158,2152,0.990212,0.988862,0.479524,0.989536,,,1.45646226916,1.87563978769
INDEL,PASS,467693,463115,4578,934590,5418,448158,2152,0.990212,0.988862,0.479524,0.989536,,,1.45646226916,1.87563978769
SNP,ALL,3254372,3232144,22228,3932859,41050,659035,4641,0.99317,0.987461,0.167571,0.990307,2.11070155487,1.94465256472,1.52627614686,1.69153476359
SNP,PASS,3254372,3232144,22228,3932859,41050,659035,4641,0.99317,0.987461,0.167571,0.990307,2.11070155487,1.94465256472,1.52627614686,1.69153476359
