Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,467693,463195,4498,924094,4537,438472,2128,0.990383,0.990657,0.474489,0.99052,,,1.45646226916,1.83857803716
INDEL,PASS,467693,463195,4498,924094,4537,438472,2128,0.990383,0.990657,0.474489,0.99052,,,1.45646226916,1.83857803716
SNP,ALL,3254372,3238118,16254,3832210,30230,563214,4425,0.995005,0.990753,0.146968,0.992874,2.11070155487,1.97908250578,1.52627614686,1.60095710219
SNP,PASS,3254372,3238118,16254,3832210,30230,563214,4425,0.995005,0.990753,0.146968,0.992874,2.11070155487,1.97908250578,1.52627614686,1.60095710219
