Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,466875,460484,6391,934410,8148,448217,2216,0.986311,0.983241,0.479679,0.984774,,,1.44219107599,1.89627273334
INDEL,PASS,466875,460484,6391,934410,8148,448217,2216,0.986311,0.983241,0.479679,0.984774,,,1.44219107599,1.89627273334
SNP,ALL,3251843,3209109,42734,3902605,68868,623856,5306,0.986859,0.978996,0.159856,0.982911,2.1088977741,1.98309634852,1.51932075507,1.73374824541
SNP,PASS,3251843,3209109,42734,3902605,68868,623856,5306,0.986859,0.978996,0.159856,0.982911,2.1088977741,1.98309634852,1.51932075507,1.73374824541
