Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,466875,460816,6059,916001,4981,432624,2193,0.987022,0.989695,0.472296,0.988357,,,1.44219107599,1.82768425986
INDEL,PASS,466875,460816,6059,916001,4981,432624,2193,0.987022,0.989695,0.472296,0.988357,,,1.44219107599,1.82768425986
SNP,ALL,3251843,3219275,32568,3736897,31572,485292,4819,0.989985,0.99029,0.129865,0.990138,2.1088977741,2.01787692447,1.51932075507,1.58830731155
SNP,PASS,3251843,3219275,32568,3736897,31572,485292,4819,0.989985,0.99029,0.129865,0.990138,2.1088977741,2.01787692447,1.51932075507,1.58830731155
