Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525467,521223,4244,939324,1506,394540,1164,0.991923,0.997236,0.420025,0.994572,,,1.52827573414,1.93220153693
INDEL,PASS,525467,521223,4244,939324,1506,394540,1164,0.991923,0.997236,0.420025,0.994572,,,1.52827573414,1.93220153693
SNP,ALL,3365126,3343863,21263,3807913,3436,458884,1490,0.993681,0.998974,0.120508,0.996321,2.10012756571,1.9920847809,1.58119585325,1.51657499845
SNP,PASS,3365126,3343863,21263,3807913,3436,458884,1490,0.993681,0.998974,0.120508,0.996321,2.10012756571,1.9920847809,1.58119585325,1.51657499845
