Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,522389,516310,6079,932319,1560,392669,1192,0.988363,0.997109,0.421175,0.992717,,,1.51401175761,1.93914520146
INDEL,PASS,522389,516310,6079,932319,1560,392669,1192,0.988363,0.997109,0.421175,0.992717,,,1.51401175761,1.93914520146
SNP,ALL,3352685,3310312,42373,3723415,5059,406337,1894,0.987361,0.998475,0.10913,0.992887,2.09757203756,2.03386352602,1.57433458455,1.56726185673
SNP,PASS,3352685,3310312,42373,3723415,5059,406337,1894,0.987361,0.998475,0.10913,0.992887,2.09757203756,2.03386352602,1.57433458455,1.56726185673
