Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525467,521209,4258,938782,1548,393980,1187,0.991897,0.997159,0.419671,0.994521,,,1.52827573414,1.93271359436
INDEL,PASS,525467,521209,4258,938782,1548,393980,1187,0.991897,0.997159,0.419671,0.994521,,,1.52827573414,1.93271359436
SNP,ALL,3365126,3348636,16490,3821638,4881,466380,2415,0.9951,0.998545,0.122037,0.99682,2.10012756571,1.99565568992,1.58119585325,1.5073927131
SNP,PASS,3365126,3348636,16490,3821638,4881,466380,2415,0.9951,0.998545,0.122037,0.99682,2.10012756571,1.99565568992,1.58119585325,1.5073927131
