Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,522389,516527,5862,930973,1561,391103,1217,0.988778,0.997109,0.420101,0.992926,,,1.51401175761,1.92696962141
INDEL,PASS,522389,516527,5862,930973,1561,391103,1217,0.988778,0.997109,0.420101,0.992926,,,1.51401175761,1.92696962141
SNP,ALL,3352685,3318525,34160,3726055,4935,400888,2521,0.989811,0.998516,0.10759,0.994144,2.09757203756,2.03353499968,1.57433458455,1.53846096178
SNP,PASS,3352685,3318525,34160,3726055,4935,400888,2521,0.989811,0.998516,0.10759,0.994144,2.09757203756,2.03353499968,1.57433458455,1.53846096178
