Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,416768,413827,2941,932707,993,504612,607,0.992943,0.99768,0.541019,0.995306,,,1.32050786058,1.62996518919
INDEL,PASS,416768,413827,2941,932707,993,504612,607,0.992943,0.99768,0.541019,0.995306,,,1.32050786058,1.62996518919
SNP,ALL,3275614,3252742,22872,3776141,4588,517594,1804,0.993017,0.998592,0.13707,0.995797,2.10868055292,1.98813566696,1.31527635192,1.27969661772
SNP,PASS,3275614,3252742,22872,3776141,4588,517594,1804,0.993017,0.998592,0.13707,0.995797,2.10868055292,1.98813566696,1.31527635192,1.27969661772
