Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,413825,409353,4472,925640,969,502179,588,0.989193,0.997712,0.542521,0.993434,,,1.29569396431,1.63928814874
INDEL,PASS,413825,409353,4472,925640,969,502179,588,0.989193,0.997712,0.542521,0.993434,,,1.29569396431,1.63928814874
SNP,ALL,3265989,3226259,39730,3693510,5227,460844,1847,0.987835,0.998383,0.124771,0.993081,2.10580535116,2.03124856413,1.30396330599,1.32409854774
SNP,PASS,3265989,3226259,39730,3693510,5227,460844,1847,0.987835,0.998383,0.124771,0.993081,2.10580535116,2.03124856413,1.30396330599,1.32409854774
