Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,413825,409620,4205,924812,987,501056,616,0.989839,0.997671,0.541792,0.993739,,,1.29569396431,1.63223980407
INDEL,PASS,413825,409620,4205,924812,987,501056,616,0.989839,0.997671,0.541792,0.993739,,,1.29569396431,1.63223980407
SNP,ALL,3265989,3234785,31204,3697872,5309,456597,2554,0.990446,0.998362,0.123476,0.994388,2.10580535116,2.03070661682,1.30396330599,1.30589183467
SNP,PASS,3265989,3234785,31204,3697872,5309,456597,2554,0.990446,0.998362,0.123476,0.994388,2.10580535116,2.03070661682,1.30396330599,1.30589183467
