Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,416768,413845,2923,932502,1021,504355,620,0.992987,0.997615,0.540862,0.995296,,,1.32050786058,1.63249934542
INDEL,PASS,416768,413845,2923,932502,1021,504355,620,0.992987,0.997615,0.540862,0.995296,,,1.32050786058,1.63249934542
SNP,ALL,3275614,3257465,18149,3786876,5812,522378,2606,0.994459,0.99822,0.137944,0.996336,2.10868055292,1.99312170901,1.31527635192,1.27839325259
SNP,PASS,3275614,3257465,18149,3786876,5812,522378,2606,0.994459,0.99822,0.137944,0.996336,2.10868055292,1.99312170901,1.31527635192,1.27839325259
