Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.991923,0.997236,0.420025,0.994572,1164,0,2809068885,2546949881.000000,0.000000,525467,.,.,296594.000000,194071.000000,,1.52827573414,521223,.,.,293883.000000,193303.000000,,1.5203230162,4244,.,.,2711.000000,768.000000,,3.52994791667,939324,.,.,600934.000000,311010.000000,,1.93220153693,543278,.,.,339258.000000,193272.000000,,1.75533962498,1506,.,.,899.000000,574.000000,,1.56620209059,394540,.,.,260777.000000,117164.000000,,2.22574340241
INDEL,*,*,PASS,*,QUAL,*,0.991923,0.997236,0.420025,0.994572,1164,0,2809068885,2546949881.000000,0.000000,525467,.,.,296594.000000,194071.000000,,1.52827573414,521223,.,.,293883.000000,193303.000000,,1.5203230162,4244,.,.,2711.000000,768.000000,,3.52994791667,939324,.,.,600934.000000,311010.000000,,1.93220153693,543278,.,.,339258.000000,193272.000000,,1.75533962498,1506,.,.,899.000000,574.000000,,1.56620209059,394540,.,.,260777.000000,117164.000000,,2.22574340241
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.994964,0.997889,0.515657,0.996425,412,0,83977437.000000,62848827.000000,0.000000,229964,.,.,127616.000000,85987.000000,,1.48413132218,228806,.,.,126779.000000,85890.000000,,1.4760624054,1158,.,.,837.000000,97.000000,,8.62886597938,494877,.,.,318724.000000,159989.000000,,1.99216196113,239184,.,.,148347.000000,85845.000000,,1.72807967849,506,.,.,237.000000,260.000000,,0.911538461538,255187,.,.,170140.000000,73884.000000,,2.30279898219
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.994964,0.997889,0.515657,0.996425,412,0,83977437.000000,62848827.000000,0.000000,229964,.,.,127616.000000,85987.000000,,1.48413132218,228806,.,.,126779.000000,85890.000000,,1.4760624054,1158,.,.,837.000000,97.000000,,8.62886597938,494877,.,.,318724.000000,159989.000000,,1.99216196113,239184,.,.,148347.000000,85845.000000,,1.72807967849,506,.,.,237.000000,260.000000,,0.911538461538,255187,.,.,170140.000000,73884.000000,,2.30279898219
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,QUAL,*,0.9532,0.987332,0.809631,0.969966,44,0,38076769.000000,13750026.000000,0.000000,7500,.,.,4427.000000,2696.000000,,1.64206231454,7149,.,.,4185.000000,2613.000000,,1.60160734788,351,.,.,242.000000,83.000000,,2.9156626506,39392,.,.,24840.000000,13908.000000,,1.78602243313,7404,.,.,4698.000000,2620.000000,,1.79312977099,95,.,.,58.000000,36.000000,,1.61111111111,31893,.,.,20084.000000,11252.000000,,1.78492712407
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,QUAL,*,0.9532,0.987332,0.809631,0.969966,44,0,38076769.000000,13750026.000000,0.000000,7500,.,.,4427.000000,2696.000000,,1.64206231454,7149,.,.,4185.000000,2613.000000,,1.60160734788,351,.,.,242.000000,83.000000,,2.9156626506,39392,.,.,24840.000000,13908.000000,,1.78602243313,7404,.,.,4698.000000,2620.000000,,1.79312977099,95,.,.,58.000000,36.000000,,1.61111111111,31893,.,.,20084.000000,11252.000000,,1.78492712407
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,QUAL,*,0.973891,0.988655,0.571049,0.981218,327,0,26604713.000000,19569916.000000,0.000000,32250,.,.,17841.000000,9337.000000,,1.91078504873,31408,.,.,17370.000000,9248.000000,,1.87824394464,842,.,.,471.000000,89.000000,,5.29213483146,82401,.,.,59524.000000,20099.000000,,2.96154037514,34945,.,.,24676.000000,9250.000000,,2.66767567568,401,.,.,304.000000,87.000000,,3.49425287356,47055,.,.,34544.000000,10762.000000,,3.20981230255
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,QUAL,*,0.973891,0.988655,0.571049,0.981218,327,0,26604713.000000,19569916.000000,0.000000,32250,.,.,17841.000000,9337.000000,,1.91078504873,31408,.,.,17370.000000,9248.000000,,1.87824394464,842,.,.,471.000000,89.000000,,5.29213483146,82401,.,.,59524.000000,20099.000000,,2.96154037514,34945,.,.,24676.000000,9250.000000,,2.66767567568,401,.,.,304.000000,87.000000,,3.49425287356,47055,.,.,34544.000000,10762.000000,,3.20981230255
INDEL,*,AllTandemRepeats_gt10000bp_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4087,.,.,1336.000000,2731.000000,,0.489198095936,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4087,.,.,1336.000000,2731.000000,,0.489198095936
INDEL,*,AllTandemRepeats_gt10000bp_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4087,.,.,1336.000000,2731.000000,,0.489198095936,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,4087,.,.,1336.000000,2731.000000,,0.489198095936
