Type,Subtype,Subset,Filter,Genotype,QQ.Field,QQ,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,FP.gt,FP.al,Subset.Size,Subset.IS_CONF.Size,Subset.Level,TRUTH.TOTAL,TRUTH.TOTAL.ti,TRUTH.TOTAL.tv,TRUTH.TOTAL.het,TRUTH.TOTAL.homalt,TRUTH.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,TRUTH.TP,TRUTH.TP.ti,TRUTH.TP.tv,TRUTH.TP.het,TRUTH.TP.homalt,TRUTH.TP.TiTv_ratio,TRUTH.TP.het_hom_ratio,TRUTH.FN,TRUTH.FN.ti,TRUTH.FN.tv,TRUTH.FN.het,TRUTH.FN.homalt,TRUTH.FN.TiTv_ratio,TRUTH.FN.het_hom_ratio,QUERY.TOTAL,QUERY.TOTAL.ti,QUERY.TOTAL.tv,QUERY.TOTAL.het,QUERY.TOTAL.homalt,QUERY.TOTAL.TiTv_ratio,QUERY.TOTAL.het_hom_ratio,QUERY.TP,QUERY.TP.ti,QUERY.TP.tv,QUERY.TP.het,QUERY.TP.homalt,QUERY.TP.TiTv_ratio,QUERY.TP.het_hom_ratio,QUERY.FP,QUERY.FP.ti,QUERY.FP.tv,QUERY.FP.het,QUERY.FP.homalt,QUERY.FP.TiTv_ratio,QUERY.FP.het_hom_ratio,QUERY.UNK,QUERY.UNK.ti,QUERY.UNK.tv,QUERY.UNK.het,QUERY.UNK.homalt,QUERY.UNK.TiTv_ratio,QUERY.UNK.het_hom_ratio
INDEL,*,*,ALL,*,QUAL,*,0.991897,0.997159,0.419671,0.994521,1187,0,2809068885,2546949881.000000,0.000000,525467,.,.,296594.000000,194071.000000,,1.52827573414,521209,.,.,293874.000000,193314.000000,,1.52018995003,4258,.,.,2720.000000,757.000000,,3.59313077939,938782,.,.,600641.000000,310776.000000,,1.93271359436,543254,.,.,339232.000000,193278.000000,,1.75515061207,1548,.,.,935.000000,582.000000,,1.60652920962,393980,.,.,260474.000000,116916.000000,,2.22787300284
INDEL,*,*,PASS,*,QUAL,*,0.991897,0.997159,0.419671,0.994521,1187,0,2809068885,2546949881.000000,0.000000,525467,.,.,296594.000000,194071.000000,,1.52827573414,521209,.,.,293874.000000,193314.000000,,1.52018995003,4258,.,.,2720.000000,757.000000,,3.59313077939,938782,.,.,600641.000000,310776.000000,,1.93271359436,543254,.,.,339232.000000,193278.000000,,1.75515061207,1548,.,.,935.000000,582.000000,,1.60652920962,393980,.,.,260474.000000,116916.000000,,2.22787300284
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,ALL,*,QUAL,*,0.994925,0.997826,0.515528,0.996374,421,0,83977437.000000,62848827.000000,0.000000,229964,.,.,127616.000000,85987.000000,,1.48413132218,228797,.,.,126775.000000,85893.000000,,1.47596428114,1167,.,.,841.000000,94.000000,,8.94680851064,494749,.,.,318472.000000,160132.000000,,1.98880923238,239171,.,.,148333.000000,85848.000000,,1.72785621098,521,.,.,248.000000,265.000000,,0.935849056604,255057,.,.,169891.000000,74019.000000,,2.29523500723
INDEL,*,AllHomopolymers_gt6bp_imperfectgt10bp_slop5,PASS,*,QUAL,*,0.994925,0.997826,0.515528,0.996374,421,0,83977437.000000,62848827.000000,0.000000,229964,.,.,127616.000000,85987.000000,,1.48413132218,228797,.,.,126775.000000,85893.000000,,1.47596428114,1167,.,.,841.000000,94.000000,,8.94680851064,494749,.,.,318472.000000,160132.000000,,1.98880923238,239171,.,.,148333.000000,85848.000000,,1.72785621098,521,.,.,248.000000,265.000000,,0.935849056604,255057,.,.,169891.000000,74019.000000,,2.29523500723
INDEL,*,AllTandemRepeats_201to10000bp_slop5,ALL,*,QUAL,*,0.9536,0.987602,0.81026,0.970303,43,0,38076769.000000,13750026.000000,0.000000,7500,.,.,4427.000000,2696.000000,,1.64206231454,7152,.,.,4186.000000,2615.000000,,1.60076481836,348,.,.,241.000000,81.000000,,2.97530864198,39533,.,.,24968.000000,13921.000000,,1.79354931399,7408,.,.,4701.000000,2621.000000,,1.79359023274,93,.,.,57.000000,35.000000,,1.62857142857,32032,.,.,20210.000000,11265.000000,,1.79405237461
INDEL,*,AllTandemRepeats_201to10000bp_slop5,PASS,*,QUAL,*,0.9536,0.987602,0.81026,0.970303,43,0,38076769.000000,13750026.000000,0.000000,7500,.,.,4427.000000,2696.000000,,1.64206231454,7152,.,.,4186.000000,2615.000000,,1.60076481836,348,.,.,241.000000,81.000000,,2.97530864198,39533,.,.,24968.000000,13921.000000,,1.79354931399,7408,.,.,4701.000000,2621.000000,,1.79359023274,93,.,.,57.000000,35.000000,,1.62857142857,32032,.,.,20210.000000,11265.000000,,1.79405237461
INDEL,*,AllTandemRepeats_51to200bp_slop5,ALL,*,QUAL,*,0.973674,0.988314,0.570597,0.98094,336,0,26604713.000000,19569916.000000,0.000000,32250,.,.,17841.000000,9337.000000,,1.91078504873,31401,.,.,17369.000000,9251.000000,,1.87752675386,849,.,.,472.000000,86.000000,,5.48837209302,82305,.,.,59440.000000,20097.000000,,2.95765537145,34929,.,.,24658.000000,9253.000000,,2.66486544904,413,.,.,313.000000,91.000000,,3.43956043956,46963,.,.,34469.000000,10753.000000,,3.2055240398
INDEL,*,AllTandemRepeats_51to200bp_slop5,PASS,*,QUAL,*,0.973674,0.988314,0.570597,0.98094,336,0,26604713.000000,19569916.000000,0.000000,32250,.,.,17841.000000,9337.000000,,1.91078504873,31401,.,.,17369.000000,9251.000000,,1.87752675386,849,.,.,472.000000,86.000000,,5.48837209302,82305,.,.,59440.000000,20097.000000,,2.95765537145,34929,.,.,24658.000000,9253.000000,,2.66486544904,413,.,.,313.000000,91.000000,,3.43956043956,46963,.,.,34469.000000,10753.000000,,3.2055240398
INDEL,*,AllTandemRepeats_gt10000bp_slop5,ALL,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,1386.000000,2317.000000,,0.598187311178,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,1386.000000,2317.000000,,0.598187311178
INDEL,*,AllTandemRepeats_gt10000bp_slop5,PASS,*,QUAL,*,0.0,,1.0,,0,0,71877742.000000,0.000000,0.000000,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,1386.000000,2317.000000,,0.598187311178,0,.,.,0.000000,0.000000,,,0,.,.,0.000000,0.000000,,,3739,.,.,1386.000000,2317.000000,,0.598187311178
INDEL,*,AllTandemRepeats_gt100bp_slop5,ALL,*,QUAL,*,0.95878,0.98585,0.753278,0.972126,165,0,119934799.000000,20670037.000000,0.000000,17273,.,.,10262.000000,5571.000000,,1.84203913122,16561,.,.,9796.000000,5458.000000,,1.7947966288,712,.,.,466.000000,113.000000,,4.12389380531,71611,.,.,46156.000000,23877.000000,,1.93307366922,17418,.,.,11594.000000,5467.000000,,2.12072434608,250,.,.,176.000000,70.000000,,2.51428571429,53943,.,.,34386.000000,18340.000000,,1.87491821156
INDEL,*,AllTandemRepeats_gt100bp_slop5,PASS,*,QUAL,*,0.95878,0.98585,0.753278,0.972126,165,0,119934799.000000,20670037.000000,0.000000,17273,.,.,10262.000000,5571.000000,,1.84203913122,16561,.,.,9796.000000,5458.000000,,1.7947966288,712,.,.,466.000000,113.000000,,4.12389380531,71611,.,.,46156.000000,23877.000000,,1.93307366922,17418,.,.,11594.000000,5467.000000,,2.12072434608,250,.,.,176.000000,70.000000,,2.51428571429,53943,.,.,34386.000000,18340.000000,,1.87491821156
INDEL,*,AllTandemRepeats_lt51bp_slop5,ALL,*,QUAL,*,0.988197,0.993882,0.407209,0.991032,530,0,38085246.000000,29870208.000000,0.000000,94723,.,.,50397.000000,27476.000000,,1.83421895472,93605,.,.,49791.000000,27375.000000,,1.81884931507,1118,.,.,606.000000,101.000000,,6.0,176482,.,.,121846.000000,44318.000000,,2.74935692044,103977,.,.,71109.000000,27387.000000,,2.59645087085,640,.,.,401.000000,218.000000,,1.83944954128,71865,.,.,50336.000000,16713.000000,,3.0117872315
INDEL,*,AllTandemRepeats_lt51bp_slop5,PASS,*,QUAL,*,0.988197,0.993882,0.407209,0.991032,530,0,38085246.000000,29870208.000000,0.000000,94723,.,.,50397.000000,27476.000000,,1.83421895472,93605,.,.,49791.000000,27375.000000,,1.81884931507,1118,.,.,606.000000,101.000000,,6.0,176482,.,.,121846.000000,44318.000000,,2.74935692044,103977,.,.,71109.000000,27387.000000,,2.59645087085,640,.,.,401.000000,218.000000,,1.83944954128,71865,.,.,50336.000000,16713.000000,,3.0117872315
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,ALL,*,QUAL,*,0.991326,0.996146,0.501376,0.99373,1108,0,249348603.000000,121406403.000000,0.000000,338941,.,.,185999.000000,118279.000000,,1.57254457681,336001,.,.,184140.000000,117975.000000,,1.56083916084,2940,.,.,1859.000000,304.000000,,6.11513157895,720796,.,.,471883.000000,221831.000000,,2.12721846811,358021,.,.,229450.000000,117947.000000,,1.94536529119,1385,.,.,820.000000,534.000000,,1.53558052434,361390,.,.,241613.000000,103350.000000,,2.33781325593
INDEL,*,AllTandemRepeatsandHomopolymers_slop5,PASS,*,QUAL,*,0.991326,0.996146,0.501376,0.99373,1108,0,249348603.000000,121406403.000000,0.000000,338941,.,.,185999.000000,118279.000000,,1.57254457681,336001,.,.,184140.000000,117975.000000,,1.56083916084,2940,.,.,1859.000000,304.000000,,6.11513157895,720796,.,.,471883.000000,221831.000000,,2.12721846811,358021,.,.,229450.000000,117947.000000,,1.94536529119,1385,.,.,820.000000,534.000000,,1.53558052434,361390,.,.,241613.000000,103350.000000,,2.33781325593
INDEL,*,BadPromoters,ALL,*,QUAL,*,0.976744,1.0,0.567839,0.988235,0,0,197273.000000,149833.000000,0.000000,86,.,.,50.000000,32.000000,,1.5625,84,.,.,48.000000,32.000000,,1.5,2,.,.,2.000000,0.000000,,,199,.,.,106.000000,86.000000,,1.23255813953,86,.,.,52.000000,32.000000,,1.625,0,.,.,0.000000,0.000000,,,113,.,.,54.000000,54.000000,,1.0
