Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525467,497426,28041,975056,45429,414620,15672,0.946636,0.91894,0.425227,0.932582,,,1.52827573414,2.30154131092
INDEL,PASS,525467,497426,28041,975056,45429,414620,15672,0.946636,0.91894,0.425227,0.932582,,,1.52827573414,2.30154131092
SNP,ALL,3365126,3361055,4071,3988153,3482,618681,1146,0.99879,0.998967,0.15513,0.998878,2.10012756571,1.95998160074,1.58119585325,1.56689983926
SNP,PASS,3365126,3361055,4071,3988153,3482,618681,1146,0.99879,0.998967,0.15513,0.998878,2.10012756571,1.95998160074,1.58119585325,1.56689983926
