Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,522390,492918,29472,970114,45365,414265,15602,0.943582,0.918386,0.427027,0.930814,,,1.51400395697,2.31998695609
INDEL,PASS,522390,492918,29472,970114,45365,414265,15602,0.943582,0.918386,0.427027,0.930814,,,1.51400395697,2.31998695609
SNP,ALL,3352685,3326880,25805,3930266,7129,591716,1869,0.992303,0.997865,0.150554,0.995076,2.09757203756,1.99328113045,1.57433458455,1.62446143907
SNP,PASS,3352685,3326880,25805,3930266,7129,591716,1869,0.992303,0.997865,0.150554,0.995076,2.09757203756,1.99328113045,1.57433458455,1.62446143907
