Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,525467,497477,27990,977719,45387,417085,15714,0.946733,0.919043,0.42659,0.932683,,,1.52827573414,2.30945034292
INDEL,PASS,525467,497477,27990,977719,45387,417085,15714,0.946733,0.919043,0.42659,0.932683,,,1.52827573414,2.30945034292
SNP,ALL,3365126,3361165,3961,4014324,3012,645539,1061,0.998823,0.999106,0.160809,0.998964,2.10012756571,1.95128158396,1.58119585325,1.57432523913
SNP,PASS,3365126,3361165,3961,4014324,3012,645539,1061,0.998823,0.999106,0.160809,0.998964,2.10012756571,1.95128158396,1.58119585325,1.57432523913
