Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,522390,493541,28849,966610,45229,410472,15625,0.944775,0.918673,0.424651,0.931541,,,1.51400395697,2.2969763144
INDEL,PASS,522390,493541,28849,966610,45229,410472,15625,0.944775,0.918673,0.424651,0.931541,,,1.51400395697,2.2969763144
SNP,ALL,3352685,3334094,18591,3880406,4667,536784,2001,0.994455,0.998604,0.138332,0.996525,2.09757203756,2.00203323712,1.57433458455,1.59143902317
SNP,PASS,3352685,3334094,18591,3880406,4667,536784,2001,0.994455,0.998604,0.138332,0.996525,2.09757203756,2.00203323712,1.57433458455,1.59143902317
