Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3656,3388,268,930973,92,927278,48,0.926696,0.975101,0.996031,0.950283,,,1.37246680643,1.92696962141
INDEL,PASS,3656,3388,268,930973,92,927278,48,0.926696,0.975101,0.996031,0.950283,,,1.37246680643,1.92696962141
SNP,ALL,17907,17175,732,3726055,179,3708762,81,0.959122,0.989649,0.995359,0.974146,2.32300556586,2.03353499968,1.35760453766,1.53846096178
SNP,PASS,17907,17175,732,3726055,179,3708762,81,0.959122,0.989649,0.995359,0.974146,2.32300556586,2.03353499968,1.35760453766,1.53846096178
