Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3620,3381,239,939324,98,935628,46,0.933978,0.973485,0.996065,0.953322,,,1.42025862069,1.93220153693
INDEL,PASS,3620,3381,239,939324,98,935628,46,0.933978,0.973485,0.996065,0.953322,,,1.42025862069,1.93220153693
SNP,ALL,17582,16907,675,3807913,250,3790812,60,0.961608,0.985381,0.995509,0.97335,2.35648854962,1.9920847809,1.42255659856,1.51657499845
SNP,PASS,17582,16907,675,3807913,250,3790812,60,0.961608,0.985381,0.995509,0.97335,2.35648854962,1.9920847809,1.42255659856,1.51657499845
