Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3656,3381,275,932319,124,928599,51,0.924781,0.966667,0.99601,0.94526,,,1.37246680643,1.93914520146
INDEL,PASS,3656,3381,275,932319,124,928599,51,0.924781,0.966667,0.99601,0.94526,,,1.37246680643,1.93914520146
SNP,ALL,17907,17095,812,3723415,366,3706015,85,0.954655,0.978966,0.995327,0.966657,2.32300556586,2.03386352602,1.35760453766,1.56726185673
SNP,PASS,17907,17095,812,3723415,366,3706015,85,0.954655,0.978966,0.995327,0.966657,2.32300556586,2.03386352602,1.35760453766,1.56726185673
