Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,466875,461638,5237,921649,1637,440548,1125,0.988783,0.996597,0.478,0.992675,,,1.44219107599,1.88312942692
INDEL,PASS,466875,461638,5237,921649,1637,440548,1125,0.988783,0.996597,0.478,0.992675,,,1.44219107599,1.88312942692
SNP,ALL,3251843,3213802,38041,3683929,6937,461910,2086,0.988302,0.997847,0.125385,0.993051,2.1088977741,2.03146302576,1.51932075507,1.5224408327
SNP,PASS,3251843,3213802,38041,3683929,6937,461910,2086,0.988302,0.997847,0.125385,0.993051,2.1088977741,2.03146302576,1.51932075507,1.5224408327
