Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,467693,464176,3517,928209,1626,444393,1112,0.99248,0.996639,0.478764,0.994555,,,1.45646226916,1.87646657267
INDEL,PASS,467693,464176,3517,928209,1626,444393,1112,0.99248,0.996639,0.478764,0.994555,,,1.45646226916,1.87646657267
SNP,ALL,3254372,3240823,13549,3779700,6144,531439,1771,0.995837,0.998109,0.140603,0.996971,2.11070155487,1.99419832602,1.52627614686,1.46836410679
SNP,PASS,3254372,3240823,13549,3779700,6144,531439,1771,0.995837,0.998109,0.140603,0.996971,2.11070155487,1.99419832602,1.52627614686,1.46836410679
