Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,467693,464179,3514,928695,1609,444876,1091,0.992487,0.996674,0.479033,0.994576,,,1.45646226916,1.87487254652
INDEL,PASS,467693,464179,3514,928695,1609,444876,1091,0.992487,0.996674,0.479033,0.994576,,,1.45646226916,1.87487254652
SNP,ALL,3254372,3236509,17863,3766979,5417,523767,1550,0.994511,0.99833,0.139042,0.996417,2.11070155487,1.98964869674,1.52627614686,1.47340543289
SNP,PASS,3254372,3236509,17863,3766979,5417,523767,1550,0.994511,0.99833,0.139042,0.996417,2.11070155487,1.98964869674,1.52627614686,1.47340543289
