Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3620,3407,213,934197,103,930432,38,0.94116,0.972643,0.99597,0.956643,,,1.42025862069,1.88636767205
INDEL,PASS,3620,3407,213,934197,103,930432,38,0.94116,0.972643,0.99597,0.956643,,,1.42025862069,1.88636767205
SNP,ALL,17582,16971,611,3871437,418,3854169,73,0.965249,0.975793,0.99554,0.970492,2.35648854962,1.98189880796,1.42255659856,1.63855857084
SNP,PASS,17582,16971,611,3871437,418,3854169,73,0.965249,0.975793,0.99554,0.970492,2.35648854962,1.98189880796,1.42255659856,1.63855857084
