Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3656,3382,274,944546,336,940570,48,0.925055,0.915493,0.995791,0.920249,,,1.37246680643,1.94515448091
INDEL,PASS,3656,3382,274,944546,336,940570,48,0.925055,0.915493,0.995791,0.920249,,,1.37246680643,1.94515448091
SNP,ALL,17907,16978,929,3943474,1798,3924831,128,0.948121,0.903556,0.995272,0.925302,2.32300556586,1.98545037316,1.35760453766,1.77997504798
SNP,PASS,17907,16978,929,3943474,1798,3924831,128,0.948121,0.903556,0.995272,0.925302,2.32300556586,1.98545037316,1.35760453766,1.77997504798
