Type,Filter,TRUTH.TOTAL,TRUTH.TP,TRUTH.FN,QUERY.TOTAL,QUERY.FP,QUERY.UNK,FP.gt,METRIC.Recall,METRIC.Precision,METRIC.Frac_NA,METRIC.F1_Score,TRUTH.TOTAL.TiTv_ratio,QUERY.TOTAL.TiTv_ratio,TRUTH.TOTAL.het_hom_ratio,QUERY.TOTAL.het_hom_ratio
INDEL,ALL,3656,3391,265,925527,135,921743,48,0.927516,0.964323,0.995912,0.945562,,,1.37246680643,1.87291817985
INDEL,PASS,3656,3391,265,925527,135,921743,48,0.927516,0.964323,0.995912,0.945562,,,1.37246680643,1.87291817985
SNP,ALL,17907,17049,858,3772008,565,3754527,145,0.952086,0.967679,0.995366,0.959819,2.32300556586,2.02083571865,1.35760453766,1.62462743187
SNP,PASS,17907,17049,858,3772008,565,3754527,145,0.952086,0.967679,0.995366,0.959819,2.32300556586,2.02083571865,1.35760453766,1.62462743187
