Task	User time (s)	System time (s)	CPU time (s)	Wall time (s)	Max RSS (KB)	Method
leviosam2_lift	37.35	2.91	40.260000000000005	40.61	3336040	1
leviosam2_lift	43.42	3.99	47.410000000000004	27.76	3579744	2
leviosam2_lift	46.13	5.18	51.31	18.8	4067028	4
leviosam2_lift	50.84	9.24	60.080000000000005	17.52	4556268	6
leviosam2_lift	57.85	20.14	77.99000000000001	18.51	5043392	8
leviosam2_lift	62.7	32.94	95.64	18.76	5530572	10
leviosam2_lift	65.47	31.89	97.36	16.93	6017696	12
leviosam2_lift	70.47	59.43	129.9	18.11	6992116	16
